epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,81.2781,0.10092,0.86261,0.9913,0.81566,0.000184877,0.000184877,0.000184877
2,160.117,0.10235,0.85913,0.98261,0.816,0.00036288,0.00036288,0.00036288
3,238.198,0.12021,0.83304,0.98783,1.20056,0.000533544,0.000533544,0.000533544
4,315.931,0.14232,0.77913,0.98957,0.77031,0.000522974,0.000522974,0.000522974
5,394.083,0.1374,0.67652,0.98783,1.45117,0.000511965,0.000511965,0.000511965
6,471.659,0.10209,0.73217,0.98957,0.93071,0.000500956,0.000500956,0.000500956
7,550.018,0.12112,0.76174,0.90435,1.40668,0.000489947,0.000489947,0.000489947
