epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,77.7476,1.56302,0.51201,0.65065,2.60909,0.00017654,0.00017654,0.00017654
2,196.018,0.77672,0.53789,0.75046,2.55015,0.000175847,0.000175847,0.000175847
3,289.583,0.51164,0.5915,0.7597,2.21634,0.000173777,0.000173777,0.000173777
4,366.516,0.37015,0.59519,0.73752,2.5003,0.000170364,0.000170364,0.000170364
5,442.844,0.2782,0.5915,0.74677,2.71823,0.000165662,0.000165662,0.000165662
6,520.453,0.24792,0.5915,0.71349,2.54656,0.000159744,0.000159744,0.000159744
7,597.586,0.20928,0.60628,0.72643,2.66596,0.000152703,0.000152703,0.000152703
8,674.775,0.1934,0.61368,0.71719,3.43397,0.000144652,0.000144652,0.000144652
9,752.04,0.1646,0.61183,0.73013,2.52888,0.000135717,0.000135717,0.000135717
10,829.122,0.15191,0.58965,0.73198,2.91985,0.000126038,0.000126038,0.000126038
11,906.19,0.13922,0.58965,0.73567,3.50233,0.000115769,0.000115769,0.000115769
