epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,81.9378,2.05014,0.39741,0.82255,2.15794,0.0668519,0.00010471,0.00010471
2,163.12,1.58788,0.4159,0.84843,2.06712,0.0336157,0.000201884,0.000201884
3,243.756,1.26863,0.47505,0.92237,1.94389,0.000371773,0.000291257,0.000291257
4,325.693,1.02062,0.53235,0.81885,2.41827,0.000279793,0.000279793,0.000279793
5,412.521,0.84123,0.5268,0.878,2.63692,0.000268093,0.000268093,0.000268093
6,496.768,0.76845,0.52126,0.89834,2.88856,0.000256394,0.000256394,0.000256394
7,583.244,0.69448,0.5342,0.86876,2.87796,0.000244694,0.000244694,0.000244694
8,661.536,0.64323,0.5305,0.87985,2.86423,0.000232994,0.000232994,0.000232994
9,739.049,0.57838,0.54159,0.878,2.82135,0.000221295,0.000221295,0.000221295
10,816.55,0.55117,0.54159,0.80222,3.03236,0.000209595,0.000209595,0.000209595
11,893.828,0.51735,0.5342,0.78189,3.00566,0.000197896,0.000197896,0.000197896
12,970.934,0.49223,0.5305,0.82994,2.74894,0.000186196,0.000186196,0.000186196
13,1048.35,0.45628,0.56192,0.71165,3.24151,0.000174497,0.000174497,0.000174497
14,1127.47,0.43916,0.56562,0.72089,3.26264,0.000162797,0.000162797,0.000162797
