epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,54.1907,1.51854,0.70339,0.78814,1.53027,0.000184676,0.000184676,0.000184676
2,106.464,0.73854,0.69068,0.88136,1.30693,0.000366346,0.000366346,0.000366346
3,158.194,0.51074,0.74153,0.87288,1.33389,0.000544347,0.000544347,0.000544347
4,209.912,0.36334,0.7161,0.86017,1.57529,0.000539487,0.000539487,0.000539487
5,261.486,0.30197,0.82627,0.88559,1.48557,0.000533982,0.000533982,0.000533982
6,313.131,0.27235,0.77119,0.88559,1.48503,0.000528478,0.000528478,0.000528478
7,364.895,0.23252,0.66949,0.83898,2.50322,0.000522974,0.000522974,0.000522974
8,416.598,0.20337,0.72458,0.87712,1.64245,0.000517469,0.000517469,0.000517469
9,468.092,0.19611,0.76271,0.88559,1.76807,0.000511965,0.000511965,0.000511965
10,519.727,0.16297,0.74153,0.88559,1.66442,0.00050646,0.00050646,0.00050646
11,571.41,0.14987,0.82627,0.87712,1.60041,0.000500956,0.000500956,0.000500956
12,622.857,0.14133,0.77119,0.87712,1.66494,0.000495452,0.000495452,0.000495452
13,674.643,0.15514,0.85593,0.87712,1.69686,0.000489947,0.000489947,0.000489947
14,726.291,0.14478,0.74153,0.82203,1.84965,0.000484443,0.000484443,0.000484443
15,778.013,0.12902,0.72881,0.88136,1.6241,0.000478938,0.000478938,0.000478938
16,829.492,0.10639,0.75,0.86017,2.12004,0.000473434,0.000473434,0.000473434
17,880.956,0.09741,0.66949,0.80508,2.34274,0.00046793,0.00046793,0.00046793
18,932.803,0.11613,0.70339,0.86017,1.95966,0.000462425,0.000462425,0.000462425
19,984.529,0.09113,0.75,0.83051,2.07624,0.000456921,0.000456921,0.000456921
20,1036.03,0.08711,0.68644,0.88136,2.23991,0.000451416,0.000451416,0.000451416
21,1087.78,0.09731,0.74153,0.88559,1.93914,0.000445912,0.000445912,0.000445912
22,1139.3,0.08423,0.7161,0.78814,2.4265,0.000440408,0.000440408,0.000440408
23,1190.83,0.07664,0.72881,0.78814,2.47533,0.000434903,0.000434903,0.000434903
24,1242.41,0.06982,0.74153,0.88559,2.3272,0.000429399,0.000429399,0.000429399
25,1294.12,0.06989,0.73305,0.88136,2.03708,0.000423894,0.000423894,0.000423894
26,1345.93,0.07417,0.80932,0.88136,1.80973,0.00041839,0.00041839,0.00041839
27,1397.63,0.05876,0.79661,0.88559,2.21729,0.000412886,0.000412886,0.000412886
28,1448.96,0.06712,0.74153,0.8178,2.23149,0.000407381,0.000407381,0.000407381
29,1500.8,0.06039,0.71186,0.87288,2.15736,0.000401877,0.000401877,0.000401877
30,1552.35,0.06234,0.78814,0.88559,2.73185,0.000396372,0.000396372,0.000396372
31,1603.83,0.06648,0.73305,0.88559,2.05243,0.000390868,0.000390868,0.000390868
32,1655.64,0.05307,0.72458,0.88559,2.35994,0.000385364,0.000385364,0.000385364
33,1707.28,0.05927,0.81356,0.88559,2.1709,0.000379859,0.000379859,0.000379859
34,1759.05,0.0434,0.77966,0.88136,2.4476,0.000374355,0.000374355,0.000374355
35,1810.63,0.0428,0.75424,0.87288,2.53754,0.00036885,0.00036885,0.00036885
36,1862.2,0.04213,0.69068,0.85593,3.0863,0.000363346,0.000363346,0.000363346
37,1913.8,0.03968,0.7161,0.88136,2.54525,0.000357842,0.000357842,0.000357842
38,1965.61,0.03998,0.66525,0.87288,3.21022,0.000352337,0.000352337,0.000352337
39,2016.96,0.03903,0.67797,0.88136,2.66615,0.000346833,0.000346833,0.000346833
40,2068.75,0.02842,0.66525,0.81356,2.75889,0.000341328,0.000341328,0.000341328
41,2120.26,0.03603,0.67797,0.87712,2.55843,0.000335824,0.000335824,0.000335824
42,2171.8,0.04175,0.74153,0.86441,2.09246,0.00033032,0.00033032,0.00033032
43,2223.41,0.03645,0.72034,0.88559,2.21598,0.000324815,0.000324815,0.000324815
44,2275.09,0.02969,0.76695,0.85169,2.47653,0.000319311,0.000319311,0.000319311
45,2326.82,0.03443,0.74153,0.87288,2.43537,0.000313806,0.000313806,0.000313806
46,2378.26,0.03325,0.80508,0.88559,2.2792,0.000308302,0.000308302,0.000308302
47,2429.9,0.03291,0.77119,0.88136,2.01466,0.000302798,0.000302798,0.000302798
48,2481.58,0.02647,0.69068,0.88136,2.27863,0.000297293,0.000297293,0.000297293
49,2533.15,0.02809,0.76695,0.87712,2.14118,0.000291789,0.000291789,0.000291789
50,2584.69,0.02384,0.75,0.87712,2.36834,0.000286284,0.000286284,0.000286284
51,2636.35,0.02629,0.72458,0.87288,2.40524,0.00028078,0.00028078,0.00028078
52,2687.83,0.03527,0.72458,0.86017,2.38247,0.000275276,0.000275276,0.000275276
53,2739.26,0.03068,0.7161,0.78814,2.60654,0.000269771,0.000269771,0.000269771
54,2790.9,0.01934,0.74576,0.83051,2.75876,0.000264267,0.000264267,0.000264267
55,2842.33,0.01992,0.72881,0.78814,3.15794,0.000258762,0.000258762,0.000258762
56,2894.08,0.0172,0.70339,0.87712,3.07666,0.000253258,0.000253258,0.000253258
57,2945.88,0.02115,0.67373,0.87712,2.99925,0.000247754,0.000247754,0.000247754
58,2997.43,0.01714,0.72458,0.88559,3.15234,0.000242249,0.000242249,0.000242249
59,3048.79,0.02579,0.69068,0.88559,3.16247,0.000236745,0.000236745,0.000236745
60,3100.45,0.04191,0.75847,0.88559,2.66491,0.00023124,0.00023124,0.00023124
61,3152.01,0.01957,0.72458,0.82627,2.72013,0.000225736,0.000225736,0.000225736
62,3203.55,0.0163,0.72458,0.8178,2.95819,0.000220232,0.000220232,0.000220232
63,3254.95,0.01649,0.67373,0.86864,2.87513,0.000214727,0.000214727,0.000214727
64,3306.22,0.02346,0.69915,0.83898,2.71999,0.000209223,0.000209223,0.000209223
65,3357.86,0.02525,0.73305,0.88559,2.89157,0.000203718,0.000203718,0.000203718
