epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
66,3409.29,0.01886,0.75,0.89831,2.81013,0.000198214,0.000198214,0.000198214
67,3462.09,0.01493,0.69068,0.88559,3.03532,0.00019271,0.00019271,0.00019271
68,3514.89,0.00975,0.69915,0.88983,3.08561,0.000187205,0.000187205,0.000187205
69,3566.49,0.01704,0.67797,0.88983,3.19675,0.000181701,0.000181701,0.000181701
70,3617.85,0.0177,0.74153,0.89407,2.74558,0.000176196,0.000176196,0.000176196
71,3669.39,0.01226,0.69068,0.89407,2.90306,0.000170692,0.000170692,0.000170692
72,3720.54,0.01114,0.69068,0.87712,3.31702,0.000165188,0.000165188,0.000165188
73,3772.13,0.01597,0.67797,0.88136,3.14124,0.000159683,0.000159683,0.000159683
74,3823.57,0.00975,0.69915,0.88559,3.09157,0.000154179,0.000154179,0.000154179
75,3874.74,0.01058,0.71186,0.90254,3.39422,0.000148674,0.000148674,0.000148674
76,3926.26,0.00961,0.70763,0.89831,3.34207,0.00014317,0.00014317,0.00014317
77,3977.75,0.01399,0.72881,0.89831,2.98405,0.000137666,0.000137666,0.000137666
78,4029.34,0.00846,0.69915,0.90254,3.00684,0.000132161,0.000132161,0.000132161
79,4080.54,0.01018,0.72034,0.89831,3.00723,0.000126657,0.000126657,0.000126657
80,4132.1,0.00884,0.73729,0.89831,2.7332,0.000121152,0.000121152,0.000121152
81,4183.43,0.00693,0.76271,0.89831,2.77604,0.000115648,0.000115648,0.000115648
82,4234.95,0.01218,0.7839,0.89831,2.83768,0.000110144,0.000110144,0.000110144
83,4286.45,0.01381,0.75847,0.89831,2.80443,0.000104639,0.000104639,0.000104639
84,4337.72,0.00986,0.7161,0.88983,2.817,9.91348e-05,9.91348e-05,9.91348e-05
85,4389.06,0.00802,0.70763,0.89407,2.9297,9.36304e-05,9.36304e-05,9.36304e-05
86,4440.53,0.00696,0.7161,0.89831,2.77109,8.8126e-05,8.8126e-05,8.8126e-05
87,4492.02,0.01077,0.72881,0.88983,2.60836,8.26216e-05,8.26216e-05,8.26216e-05
88,4543.28,0.00803,0.71186,0.88983,2.65124,7.71172e-05,7.71172e-05,7.71172e-05
89,4594.66,0.00613,0.72034,0.88136,2.70122,7.16128e-05,7.16128e-05,7.16128e-05
90,4646.09,0.01449,0.73305,0.88559,2.65083,6.61084e-05,6.61084e-05,6.61084e-05
91,4719.87,0.01027,0.73729,0.88559,2.5541,6.0604e-05,6.0604e-05,6.0604e-05
92,4771.18,0.00724,0.74576,0.88983,2.63099,5.50996e-05,5.50996e-05,5.50996e-05
93,4822.77,0.00482,0.73305,0.88559,2.62653,4.95952e-05,4.95952e-05,4.95952e-05
94,4874.23,0.00888,0.74576,0.88136,2.54883,4.40908e-05,4.40908e-05,4.40908e-05
95,4925.75,0.00975,0.76695,0.88559,2.39482,3.85864e-05,3.85864e-05,3.85864e-05
96,4976.96,0.00811,0.74576,0.88136,2.39894,3.3082e-05,3.3082e-05,3.3082e-05
97,5028.57,0.00514,0.76695,0.88136,2.41032,2.75776e-05,2.75776e-05,2.75776e-05
98,5079.97,0.007,0.75,0.88559,2.43644,2.20732e-05,2.20732e-05,2.20732e-05
99,5131.48,0.00572,0.75,0.88136,2.50332,1.65688e-05,1.65688e-05,1.65688e-05
100,5182.78,0.00626,0.76695,0.87712,2.51273,1.10644e-05,1.10644e-05,1.10644e-05
