epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,84.4016,0.26164,0.90566,0.97599,0.8562,0.00018489,0.00018489,0.00018489
2,167.655,0.09782,0.8765,0.99314,0.87682,0.000362893,0.000362893,0.000362893
3,247.738,0.10412,0.85763,0.98971,1.0079,0.000533557,0.000533557,0.000533557
4,327.995,0.11474,0.85763,0.98285,0.7664,0.000522974,0.000522974,0.000522974
5,411.996,0.10822,0.81132,0.95883,1.47281,0.000511965,0.000511965,0.000511965
6,494.11,0.10399,0.80789,0.97942,0.91189,0.000500956,0.000500956,0.000500956
7,575.79,0.10089,0.81818,0.98285,0.9395,0.000489947,0.000489947,0.000489947
8,655.523,0.0892,0.84563,0.94854,0.93948,0.000478938,0.000478938,0.000478938
9,737.429,0.08795,0.8765,0.97599,1.07651,0.00046793,0.00046793,0.00046793
10,819.079,0.07379,0.81647,0.93997,1.16631,0.000456921,0.000456921,0.000456921
11,900.549,0.0754,0.80446,0.94854,1.08049,0.000445912,0.000445912,0.000445912
12,982.338,0.07114,0.68611,0.94854,1.66928,0.000434903,0.000434903,0.000434903
13,1062.56,0.07064,0.86449,0.98456,0.87283,0.000423894,0.000423894,0.000423894
14,1145.09,0.05239,0.8542,0.98628,0.51638,0.000412886,0.000412886,0.000412886
