epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,88.1661,0.10945,0.81697,0.97338,0.7631,0.000184907,0.000184907,0.000184907
2,174.761,0.10977,0.84359,0.96173,1.0761,0.000366575,0.000366575,0.000366575
3,258.411,0.1265,0.85524,0.99168,0.89167,0.000544574,0.000544574,0.000544574
4,341.793,0.1267,0.77038,0.98336,1.17651,0.000539487,0.000539487,0.000539487
5,425.574,0.13471,0.7005,0.99334,0.89723,0.000533982,0.000533982,0.000533982
6,509.097,0.12678,0.6223,0.98336,3.08658,0.000528478,0.000528478,0.000528478
7,592.851,0.10691,0.63727,0.99002,1.28408,0.000522974,0.000522974,0.000522974
8,676.658,0.0942,0.71547,0.98502,0.91702,0.000517469,0.000517469,0.000517469
9,760.703,0.09271,0.67221,0.99168,2.10381,0.000511965,0.000511965,0.000511965
10,843.905,0.09571,0.78037,0.98835,1.08702,0.00050646,0.00050646,0.00050646
11,927.989,0.09059,0.59068,0.98835,1.82081,0.000500956,0.000500956,0.000500956
12,1011.19,0.0841,0.57404,0.98336,2.19711,0.000495452,0.000495452,0.000495452
13,1094.78,0.08689,0.59401,0.99334,3.66023,0.000489947,0.000489947,0.000489947
