epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,104.894,1.41241,0.27172,0.69316,3.45106,0.0801066,5.82676e-05,5.82676e-05
2,182.793,0.93258,0.48244,0.64325,3.77482,0.0601603,0.00011202,0.00011202
3,260.895,0.75668,0.50462,0.85952,2.99753,0.0402094,0.000161111,0.000161111
4,338.574,0.61514,0.51756,0.68022,3.8416,0.0202538,0.00020554,0.00020554
5,415.554,0.46102,0.55268,0.65434,4.9267,0.000293616,0.000245307,0.000245307
6,493.055,0.41679,0.56377,0.68392,4.38632,0.000233771,0.000233771,0.000233771
7,570.66,0.35178,0.54713,0.67098,3.9155,0.000222117,0.000222117,0.000222117
8,648.406,0.31831,0.54159,0.72458,3.18161,0.000210462,0.000210462,0.000210462
9,725.573,0.26539,0.57301,0.73198,3.93819,0.000198808,0.000198808,0.000198808
10,802.885,0.26237,0.52311,0.73567,3.38422,0.000187153,0.000187153,0.000187153
11,880.305,0.234,0.58965,0.73198,3.48403,0.000175499,0.000175499,0.000175499
