epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,87.5819,1.30472,0.42699,0.72458,2.81023,0.0670797,0.000332528,0.000332528
2,179.404,0.78591,0.55638,0.72643,3.53984,0.0340779,0.00066404,0.00066404
3,263.733,0.63235,0.56377,0.71534,3.98101,0.0010688,0.000988288,0.000988288
4,345.847,0.54012,0.63771,0.68577,3.41016,0.000975553,0.000975553,0.000975553
5,430.866,0.42915,0.57856,0.69686,5.33536,0.000956816,0.000956816,0.000956816
6,512.744,0.412,0.45656,0.6414,4.99121,0.00093308,0.00093308,0.00093308
7,596.815,0.35117,0.47874,0.7098,5.32807,0.000904604,0.000904604,0.000904604
